,Report_Date,Indonesia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,87.13294349637438,5904.985307427372,True,1,0.521312382964875,10498.611516807045
1,2020-01-23,0,87.13294349637438,5904.985307427372,True,2,0.5856775488666274,10498.611516807045
2,2020-01-24,0,87.13294349637438,5904.985307427372,True,3,0.6579892817167542,10498.611516807045
3,2020-01-25,0,87.13294349637438,5904.985307427372,True,4,0.7392285539622049,10498.611516807045
4,2020-01-26,0,87.13294349637438,5904.985307427372,True,5,0.830497404806972,10498.611516807045
5,2020-01-27,0,87.13294349637438,5904.985307427372,True,6,0.9330338736919964,10498.611516807045
6,2020-01-28,0,87.13294349637438,5904.985307427372,True,7,1.0482287737148486,10498.611516807045
7,2020-01-29,0,87.13294349637438,5904.985307427372,True,8,1.1776445311377433,10498.611516807045
8,2020-01-30,0,87.13294349637438,5904.985307427372,True,9,1.3230363447845686,10498.611516807045
9,2020-01-31,0,87.13294349637438,5904.985307427372,True,10,1.4863759501230265,10498.611516807045
10,2020-02-01,0,87.13294349637438,5904.985307427372,True,11,1.6698783075608932,10498.611516807045
11,2020-02-02,0,87.13294349637438,5904.985307427372,True,12,1.8760315733939317,10498.611516807045
12,2020-02-03,0,87.13294349637438,5904.985307427372,True,13,2.1076307554130542,10498.611516807045
13,2020-02-04,0,87.13294349637438,5904.985307427372,True,14,2.367815503948382,10498.611516807045
14,2020-02-05,0,87.13294349637438,5904.985307427372,True,15,2.660112543692829,10498.611516807045
15,2020-02-06,0,87.13294349637438,5904.985307427372,True,16,2.988483312664182,10498.611516807045
16,2020-02-07,0,87.13294349637438,5904.985307427372,True,17,3.357377442854177,10498.611516807045
17,2020-02-08,0,87.13294349637438,5904.985307427372,True,18,3.771792793267477,10498.611516807045
18,2020-02-09,0,87.13294349637438,5904.985307427372,True,19,4.237342831037666,10498.611516807045
19,2020-02-10,0,87.13294349637438,5904.985307427372,True,20,4.760332251062245,10498.611516807045
20,2020-02-11,0,87.13294349637438,5904.985307427372,True,21,5.3478418301426895,10498.611516807045
21,2020-02-12,0,87.13294349637438,5904.985307427372,True,22,6.007823629044153,10498.611516807045
22,2020-02-13,0,87.13294349637438,5904.985307427372,True,23,6.749207786371921,10498.611516807045
23,2020-02-14,0,87.13294349637438,5904.985307427372,True,24,7.582022292935144,10498.611516807045
24,2020-02-15,0,87.13294349637438,5904.985307427372,True,25,8.5175272956256,10498.611516807045
25,2020-02-16,0,87.13294349637438,5904.985307427372,True,26,9.568365657111691,10498.611516807045
26,2020-02-17,0,87.13294349637438,5904.985307427372,True,27,10.748731693179302,10498.611516807045
27,2020-02-18,0,87.13294349637438,5904.985307427372,True,28,12.074560224660349,10498.611516807045
28,2020-02-19,0,87.13294349637438,5904.985307427372,True,29,13.563738316820748,10498.611516807045
29,2020-02-20,0,87.13294349637438,5904.985307427372,True,30,15.236342336929726,10498.611516807045
30,2020-02-21,0,87.13294349637438,5904.985307427372,True,31,17.114903241364807,10498.611516807045
31,2020-02-22,0,87.13294349637438,5904.985307427372,True,32,19.224703307523246,10498.611516807045
32,2020-02-23,0,87.13294349637438,5904.985307427372,True,33,21.594107852999056,10498.611516807045
33,2020-02-24,0,87.13294349637438,5904.985307427372,True,34,24.254935834209313,10498.611516807045
34,2020-02-25,0,87.13294349637438,5904.985307427372,True,35,27.242873587196726,10498.611516807045
35,2020-02-26,0,87.13294349637438,5904.985307427372,True,36,30.597936361661873,10498.611516807045
36,2020-02-27,0,87.13294349637438,5904.985307427372,True,37,34.36498270061365,10498.611516807045
37,2020-02-28,0,87.13294349637438,5904.985307427372,True,38,38.59428712532871,10498.611516807045
38,2020-02-29,0,87.13294349637438,5904.985307427372,True,39,43.34217698860704,10498.611516807045
39,2020-03-01,0,87.13294349637438,5904.985307427372,True,40,48.67173974488753,10498.611516807045
40,2020-03-02,2,87.13294349637438,5904.985307427372,True,41,54.65360723517643,10498.611516807045
41,2020-03-03,2,87.13294349637438,5904.985307427372,True,42,61.366823873505844,10498.611516807045
42,2020-03-04,2,87.13294349637438,5904.985307427372,True,43,68.89980581789153,10498.611516807045
43,2020-03-05,2,87.13294349637438,5904.985307427372,True,44,77.35139827139506,10498.611516807045
44,2020-03-06,4,87.13294349637438,5904.985307427372,True,45,86.83203793552275,10498.611516807045
45,2020-03-07,4,87.13294349637438,5904.985307427372,True,46,97.46502726269503,10498.611516807045
46,2020-03-08,6,87.13294349637438,5904.985307427372,True,47,109.38792644431622,10498.611516807045
47,2020-03-09,19,87.13294349637438,5904.985307427372,True,48,122.75406792393514,10498.611516807045
48,2020-03-10,27,87.13294349637438,5904.985307427372,True,49,137.73419651613483,10498.611516807045
49,2020-03-11,34,87.13294349637438,5904.985307427372,True,50,154.51823578990013,10498.611516807045
50,2020-03-12,34,87.13294349637438,5904.985307427372,True,51,173.31717805957828,10498.611516807045
51,2020-03-13,69,87.13294349637438,5904.985307427372,True,52,194.36509090430522,10498.611516807045
52,2020-03-14,96,87.13294349637438,5904.985307427372,True,53,217.92122736136506,10498.611516807045
53,2020-03-15,117,87.13294349637438,5904.985307427372,True,54,244.27221953065376,10498.611516807045
54,2020-03-16,134,87.13294349637438,5904.985307427372,True,55,273.7343259770002,10498.611516807045
55,2020-03-17,172,87.13294349637438,5904.985307427372,True,56,306.65569169443756,10498.611516807045
56,2020-03-18,227,87.13294349637438,5904.985307427372,True,57,343.4185651660984,10498.611516807045
57,2020-03-19,311,87.13294349637438,5904.985307427372,True,58,384.44139989953044,10498.611516807045
58,2020-03-20,369,87.13294349637438,5904.985307427372,True,59,430.1807474821002,10498.611516807045
59,2020-03-21,450,87.13294349637438,5904.985307427372,True,60,481.13282553953064,10498.611516807045
60,2020-03-22,514,87.13294349637438,5904.985307427372,True,61,537.8346170349321,10498.611516807045
61,2020-03-23,579,87.13294349637438,5904.985307427372,True,62,600.8643274449212,10498.611516807045
62,2020-03-24,686,87.13294349637438,5904.985307427372,True,63,670.8409942342645,10498.611516807045
63,2020-03-25,790,87.13294349637438,5904.985307427372,True,64,748.4230100234822,10498.611516807045
64,2020-03-26,893,87.13294349637438,5904.985307427372,True,65,834.3052889400371,10498.611516807045
65,2020-03-27,1046,87.13294349637438,5904.985307427372,True,66,929.2147778076474,10498.611516807045
66,2020-03-28,1155,87.13294349637438,5904.985307427372,True,67,1033.903994074458,10498.611516807045
67,2020-03-29,1285,87.13294349637438,5904.985307427372,True,68,1149.1422658993317,10498.611516807045
68,2020-03-30,1414,87.13294349637438,5904.985307427372,True,69,1275.704362967859,10498.611516807045
69,2020-03-31,1528,87.13294349637438,5904.985307427372,True,70,1414.3562467433908,10498.611516807045
70,2020-04-01,1677,87.13294349637438,5904.985307427372,True,71,1565.8377438557948,10498.611516807045
71,2020-04-02,1790,87.13294349637438,5904.985307427372,True,72,1730.8420638051207,10498.611516807045
72,2020-04-03,1986,87.13294349637438,5904.985307427372,True,73,1909.992248230099,10498.611516807045
73,2020-04-04,2092,87.13294349637438,5904.985307427372,True,74,2103.814856633641,10498.611516807045
74,2020-04-05,2273,87.13294349637438,5904.985307427372,True,75,2312.7114604761164,10498.611516807045
75,2020-04-06,2491,87.13294349637438,5904.985307427372,True,76,2536.92882443241,10498.611516807045
76,2020-04-07,2738,87.13294349637438,5904.985307427372,True,77,2776.5289816353447,10498.611516807045
77,2020-04-08,2956,87.13294349637438,5904.985307427372,True,78,3031.360729876665,10498.611516807045
78,2020-04-09,3293,87.13294349637438,5904.985307427372,True,79,3301.0343491207877,10498.611516807045
79,2020-04-10,3512,87.13294349637438,5904.985307427372,True,80,3584.90152114913,10498.611516807045
80,2020-04-11,3842,87.13294349637438,5904.985307427372,True,81,3882.042471458763,10498.611516807045
81,2020-04-12,4241,87.13294349637438,5904.985307427372,True,82,4191.262209078238,10498.611516807045
82,2020-04-13,4557,87.13294349637438,5904.985307427372,True,83,4511.097384133773,10498.611516807045
83,2020-04-14,4839,87.13294349637438,5904.985307427372,True,84,4839.834712602515,10498.611516807045
84,2020-04-15,5136,87.13294349637438,5904.985307427372,True,85,5175.541161009293,10498.611516807045
85,2020-04-16,5516,87.13294349637438,5904.985307427372,True,86,5516.105202894853,10498.611516807045
86,2020-04-17,5923,87.13294349637438,5904.985307427372,True,87,5859.287545069844,10498.611516807045
87,2020-04-18,6248,87.13294349637438,5904.985307427372,True,88,6202.7788840743,10498.611516807045
88,2020-04-19,6575,87.13294349637438,5904.985307427372,True,89,6544.26160144959,10498.611516807045
89,2020-04-20,6760,87.13294349637438,5904.985307427372,True,90,6881.471930829021,10498.611516807045
90,2020-04-21,7135,87.13294349637438,5904.985307427372,True,91,7212.2590843778435,10498.611516807045
91,2020-04-22,7418,87.13294349637438,5904.985307427372,True,92,7534.638117374879,10498.611516807045
92,2020-04-23,7775,87.13294349637438,5904.985307427372,True,93,7846.833895692758,10498.611516807045
93,2020-04-24,8211,87.13294349637438,5904.985307427372,True,94,8147.314329385962,10498.611516807045
94,2020-04-25,8607,87.13294349637438,5904.985307427372,True,95,8434.811940153168,10498.611516807045
